,word,variant
1192,criticised,B
1193,criticising,B
1194,criticises,B
1195,criticiser,B
1196,criticisers,B
1197,criticiser's,B
1198,crosier,A
1199,crozier,B
1200,crosiers,A
1201,croziers,B
1202,crosier's,A
1203,crozier's,B
1204,crueler,A
1205,crueller,B
1206,cruelest,A
1207,cruellest,B
1208,crystallisable,B
1209,crystallisabler,B
1210,crystallisables,B
1211,crystallisablest,B
1212,crystallisable's,B
1213,crystallisation,B
1214,crystallisations,B
1215,crystallisation's,B
1216,crystallise,B
1217,crystallised,B
1218,crystallising,B
1219,crystallises,B
1220,cudgeled,A
1221,cudgelled,B
1222,cudgeling,A
1223,cudgelling,B
1224,cudgelings,A
1225,cudgellings,B
1226,cupelation,A
1227,cupellation,B
1228,customisable,B
1229,customisation,B
1230,customisations,B
1231,customisation's,B
1232,customise,B
1233,customised,B
1234,customising,B
1235,customises,B
1236,tsar,B
1237,czar,A
1238,tsars,B
1239,czars,A
1240,tsar's,B
1241,czar's,A
1242,decarbonisation,B
1243,decarbonisations,B
1244,decarbonisation's,B
1245,decarbonise,B
1246,decarbonised,B
1247,decarbonising,B
1248,decarbonises,B
1249,decentralisation,B
1250,decentralisations,B
1251,decentralisation's,B
1252,decentralise,B
1253,decentralised,B
1254,decentralising,B
1255,decentralises,B
1256,deciliter,A
1257,decilitre,B
1258,deciliters,A
1259,decilitres,B
1260,deciliter's,A
1261,decilitre's,B
1262,decimalisation,B
1263,decimalisations,B
1264,decimalisation's,B
1265,decimalise,B
1266,decimalised,B
1267,decimalising,B
1268,decimalises,B
1269,decimeter,A
1270,decimetre,B
1271,decimeters,A
1272,decimetres,B
1273,decimeter's,A
1274,decimetre's,B
1275,decolonisation,B
1276,decolonisations,B
1277,decolonisation's,B
1278,decolonise,B
1279,decolonised,B
1280,decolonising,B
1281,decolonises,B
1282,decriminalisation,B
1283,decriminalisations,B
1284,decriminalisation's,B
1285,decriminalise,B
1286,decriminalised,B
1287,decriminalising,B
1288,decriminalises,B
1289,defense,A
1290,defence,B
1291,defensed,A
1292,defenced,B
1293,defensing,A
1294,defencing,B
1295,defenses,A
1296,defences,B
1297,defense's,A
1298,defence's,B
1299,defenseless,A
1300,defenceless,B
1301,defenselesser,A
1302,defencelesser,B
1303,defenselessest,A
1304,defencelessest,B
1305,defenselessness,A
1306,defencelessness,B
1307,defenselessnesses,A
1308,defencelessnesses,B
1309,defenselessness's,A
1310,defencelessness's,B
1311,dehumanisation,B
1312,dehumanisations,B
1313,dehumanisation's,B
1314,dehumanise,B
1315,dehumanised,B
1316,dehumanising,B
1317,dehumanises,B
1318,deionisation,B
1319,deionisation's,B
1320,deionise,B
1321,deionised,B
1322,deionising,B
1323,deionises,B
1324,delocalisation,B
1325,delocalisations,B
1326,delocalisation's,B
1327,delocalise,B
1328,delocalised,B
1329,delocalising,B
1330,delocalises,B
1331,demagnetisation,B
1332,demagnetisations,B
1333,demagnetisation's,B
1334,demagnetise,B
1335,demagnetised,B
1336,demagnetising,B
1337,demagnetises,B
1338,demagnetiser,B
1339,demagnetisers,B
1340,demagnetiser's,B
1341,dematerialisation,B
1342,dematerialisations,B
1343,dematerialisation's,B
1344,dematerialise,B
1345,dematerialised,B
1346,dematerialising,B
1347,dematerialises,B
1348,demeanor,A
1349,demeanour,B
1350,demeanors,A
1351,demeanours,B
1352,demeanor's,A
1353,demeanour's,B
1354,demilitarisation,B
1355,demilitarisations,B
1356,demilitarisation's,B
1357,demilitarise,B
1358,demilitarised,B
1359,demilitarising,B
1360,demilitarises,B
1361,demineralisation,B
1362,demineralisations,B
1363,demineralisation's,B
1364,demineralise,B
1365,demineralised,B
1366,demineralising,B
1367,demineralises,B
1368,demobilisation,B
1369,demobilisations,B
1370,demobilisation's,B
1371,demobilise,B
1372,demobilised,B
1373,demobilising,B
1374,demobilises,B
1375,democratisation,B
1376,democratisations,B
1377,democratisation's,B
1378,democratise,B
1379,democratised,B
1380,democratising,B
1381,democratises,B
1382,demonetisation,B
1383,demonetisations,B
1384,demonetisation's,B
1385,demonetise,B
1386,demonetised,B
1387,demonetising,B
1388,demonetises,B
1389,demonisation,B
1390,demonise,B
1391,demonised,B
1392,demonising,B
1393,demonises,B
1394,demoralisation,B
1395,demoralisations,B
1396,demoralisation's,B
1397,demoralise,B
1398,demoralised,B
1399,demoralising,B
1400,demoralises,B
1401,demoralisingly,B
1402,demythologise,B
1403,demythologised,B
1404,demythologising,B
1405,demythologises,B
1406,denationalisation,B
1407,denationalisations,B
1408,denationalisation's,B
1409,denationalise,B
1410,denationalised,B
1411,denationalising,B
1412,denationalises,B
1413,denaturalisation,B
1414,denaturalisations,B
1415,denaturalisation's,B
1416,denaturalise,B
1417,denaturalised,B
1418,denaturalising,B
1419,denaturalises,B
1420,dentin,A
1421,dentine,B
1422,dentins,A
1423,dentines,B
1424,dentin's,A
1425,dentine's,B
1426,denuclearisation,B
1427,denuclearisations,B
1428,denuclearisation's,B
1429,denuclearise,B
1430,denuclearised,B
1431,denuclearising,B
1432,denuclearises,B
1433,deodorisation,B
1434,deodorisations,B
1435,deodorisation's,B
1436,deodorise,B
1437,deodorised,B
1438,deodorising,B
1439,deodorises,B
1440,deodoriser,B
1441,deodorisers,B
1442,deodoriser's,B
1443,departmentalisation,B
1444,departmentalisations,B
1445,departmentalisation's,B
1446,departmentalise,B
1447,departmentalised,B
1448,departmentalising,B
1449,departmentalises,B
1450,depersonalisation,B
1451,depersonalisations,B
1452,depersonalisation's,B
1453,depersonalise,B
1454,depersonalised,B
1455,depersonalising,B
1456,depersonalises,B
1457,depolarisation,B
1458,depolarisations,B
1459,depolarisation's,B
1460,depolarise,B
